周边ID,中文简记,正式商品名,厂商/渠道,清理判定,判定理由,处理动作,清理前图片状态,清理前本地图,清理前Fallback,图片来源说明,图片来源URL,图片类型
KR-MER-0152,Idol School Days 徽章 Vol.3 B,鬼龍紅郎 「あんさんぶるスターズ! キャラバッジコレクション Idol School Days Vol.3 Ver.B」,ムービック,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0152.webp,https://cdn.suruga-ya.jp/database/pics_webp/game/871112708.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/871112708.jpg.webp,档案单品原图
KR-MER-0153,Animate Cafe 厨师ver.心形徽章,鬼龍紅郎 「あんさんぶるスターズ!×animatecafe トレーディングハート型缶バッジ 夢ノ咲コックver. Aグループ」,アニメイト,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/871571167.jpg.webp,駿河屋鬼龍紅郎角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/871571167.jpg.webp,档案单品原图
KR-MER-0154,Long Can Badge Collection 8,鬼龍紅郎 「あんさんぶるスターズ! ロングカンバッジコレクション8」,エンスカイ,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0154.webp,https://cdn.suruga-ya.jp/database/pics_webp/game/871568501.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/871568501.jpg.webp,档案单品原图
KR-MER-0155,追忆B 和纸质感徽章,鬼龍紅郎 「あんさんぶるスターズ! キャラバッジコレクション 追憶B」,ムービック,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0155.webp,https://cdn.suruga-ya.jp/database/pics_webp/game/871581125.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/871581125.jpg.webp,档案单品原图
KR-MER-0156,梦之咲活动Collection vol.2 梅雨払い,鬼龍紅郎(2016年傾け!梅雨払いの錦) 夢ノ咲イベントコレクション缶バッジvol.2,バンプレスト,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/871578535.jpg.webp,駿河屋鬼龍紅郎角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/871578535.jpg.webp,档案单品原图
KR-MER-0157,Crossroad 开花后角色徽章,鬼龍紅郎(才能開花後) 「あんさんぶるスターズ! キャラバッジコレクション 追憶*それぞれのクロスロード」,ムービック,非官图已撤,非官方图片来源：www.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0157.webp,,Crossroad封口图片工程,https://www.suruga-ya.jp/product/detail/871584784,封口主图
KR-MER-0158,一番Cafe 巧克力派对心形徽章,鬼龍紅郎 「一番カフェ あんさんぶるスターズ! ～胸きゅん!ショコラパーティー♪～ ハート型缶バッジ Part1」,バンプレスト,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/871591138.jpg.webp,駿河屋鬼龍紅郎角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/871591138.jpg.webp,档案单品原图
KR-MER-0159,Variety徽章 4th vol.1,鬼龍紅郎 「あんさんぶるスターズ! バラエティ缶バッジ4th vol.1」,バンプレスト,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0159.webp,,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/871592292.jpg.webp,档案单品原图
KR-MER-0161,应援大徽章 2nd vol.1,鬼龍紅郎 「あんさんぶるスターズ! 応援缶バッジ2nd vol.1」,バンプレスト,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0161.webp,,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/871615701.jpg.webp,档案单品原图
KR-MER-0162,Variety 5th special 签名设计徽章,鬼龍紅郎 「あんさんぶるスターズ! トルコレ バラエティ缶バッジ5th～special ver.～」,バンプレスト,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0162.webp,https://cdn.suruga-ya.jp/pics_webp/boxart_m/871624914m.jpg.webp,駿河屋鬼龍紅郎角色单品档案缩略图,https://cdn.suruga-ya.jp/pics_webp/boxart_m/871624914m.jpg.webp,档案单品缩略图・待大图升级
KR-MER-0163,とるパカ 心形徽章 Ver.B,鬼龍紅郎 「あんさんぶるスターズ! とるパカ! ハート型缶バッジ Ver.B」,バンプレスト,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/871116964.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/871116964.jpg.webp,角色单品实图
KR-MER-0164,Namjatown Cat Festival闪亮徽章B,鬼龍紅郎 「あんさんぶるスターズ! in ナンジャタウン ～キャット*フェスティバル～ キラキラ缶バッジコレクションB」,バンダイナムコアミューズメント,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/871639058.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/871639058.jpg.webp,档案单品原图
KR-MER-0165,とるパカ 心形徽章 Vol.3 B,鬼龍紅郎 「あんさんぶるスターズ! とるパカ! ハート型缶バッジVol.3 Ver.B」,バンプレスト,非官图已撤,非官方图片来源：static.mercdn.net,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0165.webp,https://static.mercdn.net/item/detail/orig/photos/m23515126044_1.jpg?1736777308,Mercari鬼龍紅郎vol.3精确单品实物＋駿河屋Vol.3 Bver角色直证,https://static.mercdn.net/item/detail/orig/photos/m23515126044_1.jpg?1736777308,精确二手角色单品实物图
KR-MER-0166,应援大徽章 4th vol.1,鬼龍紅郎 「あんさんぶるスターズ! トルコレ 応援缶バッジ4th vol.1」,バンプレスト,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0166.webp,https://cdn.suruga-ya.jp/database/pics_webp/game/871667967.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/871667967.jpg.webp,档案单品原图
KR-MER-0167,とるパカ 心形徽章 Vol.4 B,鬼龍紅郎 「あんさんぶるスターズ! とるパカ! ハート型缶バッジVol.4 Ver.B」,バンプレスト,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/871116462.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/871116462.jpg.webp,角色单品实图
KR-MER-0168,とるパカ 心形徽章 Vol.5 B,鬼龍紅郎 「あんさんぶるスターズ! とるパカ! ハート型缶バッジVol.5 Ver.B」,バンプレスト,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/871779184.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/871779184.jpg.webp,角色单品实图
KR-MER-0169,Variety徽章 7th vol.1,鬼龍紅郎 「あんさんぶるスターズ! トルコレ バラエティ缶バッジ7th vol.1」,バンプレスト,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0169.webp,https://cdn.suruga-ya.jp/database/pics_webp/game/871679277.jpg.webp,駿河屋鬼龍紅郎角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/871679277.jpg.webp,档案单品原图
KR-MER-0170,动画化纪念徽章 vol.1,鬼龍紅郎 「あんさんぶるスターズ! アニメ化記念缶バッジvol.1」,バンプレスト,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/871675771.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/871675771.jpg.webp,档案单品原图
KR-MER-0171,とるパカ 心形徽章 Vol.7 B,鬼龍紅郎 「あんさんぶるスターズ! とるパカ! ハート型缶バッジVol.7 Ver.B」,バンプレスト,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/871723811.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/871723811.jpg.webp,角色单品实图
KR-MER-0172,激推し徽章 Collection vol.2,鬼龍紅郎 「あんさんぶるスターズ! 激推し缶バッジコレクション vol.2」,ホビーストック,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/871692567.jpg.webp,駿河屋鬼龍紅郎角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/871692567.jpg.webp,档案单品原图
KR-MER-0173,Lawson 全息徽章 C,鬼龍紅郎 「あんさんぶるスターズ!!×ローソン ホログラム缶バッジ C ver.」,ローソン,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/871728580.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/871728580.jpg.webp,档案单品原图
KR-MER-0174,とるパカ 心形徽章 Vol.8 B,鬼龍紅郎 「あんさんぶるスターズ! とるパカ! ハート型缶バッジVol.8 Ver.B」,バンプレスト,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/871762626.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/871762626.jpg.webp,角色单品实图
KR-MER-0175,Variety徽章 10th vol.1,鬼龍紅郎 「あんさんぶるスターズ! バラエティ缶バッジ10th vol.1」,バンプレスト,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0175.webp,,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/871748266.jpg.webp,档案单品原图
KR-MER-0176,新章 Variety徽章 1st vol.1,鬼龍紅郎 「あんさんぶるスターズ!! バラエティ缶バッジ 1st vol.1」,バンプレスト,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0176.webp,,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/871766617.jpg.webp,档案单品原图
KR-MER-0177,5周年展示会 签名罩角色徽章 B,鬼龍紅郎 「あんさんぶるスターズ!! 5周年展示会 ring for SMILE キャラバッジコレクション(豪華サイン入りカバー付) -5th Anniversary- B」,ムービック,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0177.webp,https://cdn.suruga-ya.jp/database/pics_webp/game/871774396.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/871774396.jpg.webp,档案单品原图
KR-MER-0178,星形BIG徽章 vol.2,鬼龍紅郎 「あんさんぶるスターズ!! 星型ビッグ缶バッジvol.2」,バンプレスト,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/871773620.jpg.webp,駿河屋全15種セット精确档案原图定位裁切,https://cdn.suruga-ya.jp/database/pics_webp/game/871773620.jpg.webp,精确セット档案原图・目标单枚裁切
KR-MER-0179,圆形Art徽章 vol.2,鬼龍紅郎 「あんさんぶるスターズ!! 丸型アート缶バッジvol.2」,バンプレスト,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/871786875.jpg.webp,駿河屋鬼龍紅郎角色单品档案原图＋GiGO官方奖品档案,https://cdn.suruga-ya.jp/database/pics_webp/game/871786875.jpg.webp,档案单品原图
KR-MER-0180,Portrait Sign 徽章 C,鬼龍紅郎 「あんさんぶるスターズ!! ポートレートサイン 缶バッジ C」,トイズ・プランニング,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/871721965.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/871721965.jpg.webp,档案单品原图
KR-MER-0181,gracolle 6周年 SOUL,鬼龍紅郎 「あんさんぶるスターズ!! gracolle CANBA!! ES 6th Anniversary SOUL」,フロンティアワークス,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/871128108.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/871128108.jpg.webp,档案单品原图
KR-MER-0182,主题Scout 2020 SPRING Idol,鬼龍紅郎 「あんさんぶるスターズ!! テーマスカウト缶バッジ [2020 SPRING] -Idol Side-」,フロンティアワークス,来源不明已撤,图片来源URL缺失，不能证明为官图,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0182.webp,,公开真实商品图/旧图鉴迁移,,既有实图
KR-MER-0183,主题Scout 2020 SPRING Casual,鬼龍紅郎 「あんさんぶるスターズ!! テーマスカウト缶バッジ [2020 SPRING] -Casual Side-」,フロンティアワークス,来源不明已撤,图片来源URL缺失，不能证明为官图,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0183.webp,,公开真实商品图/旧图鉴迁移,,既有实图
KR-MER-0184,主题Scout 2020 AUTUMN Idol,鬼龍紅郎 「あんさんぶるスターズ!! テーマスカウト缶バッジ [2020 AUTUMN] -Idol Side-」,フロンティアワークス,来源不明已撤,图片来源URL缺失，不能证明为官图,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0184.webp,,公开真实商品图/旧图鉴迁移,,既有实图
KR-MER-0185,主题Scout 2020 AUTUMN Casual,鬼龍紅郎 「あんさんぶるスターズ!! テーマスカウト缶バッジ [2020 AUTUMN] -Casual Side-」,フロンティアワークス,来源不明已撤,图片来源URL缺失，不能证明为官图,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0185.webp,,公开真实商品图/旧图鉴迁移,,既有实图
KR-MER-0186,gracolle 7周年 TAILS,鬼龍紅郎 「あんさんぶるスターズ!! gracolle CANBA!! ES 7th Anniversary TAILS」,フロンティアワークス,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/871189938.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/871189938.jpg.webp,档案单品原图
KR-MER-0187,主题Scout 2022 WINTER Idol,鬼龍紅郎 「あんさんぶるスターズ!! テーマスカウト缶バッジ [2022 WINTER] -Idol Side-」,pattythree,来源不明已撤,图片来源URL缺失，不能证明为官图,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0187.webp,,公开真实商品图/旧图鉴迁移,,既有实图
KR-MER-0188,gracolle 8周年 from ME,鬼龍紅郎 「あんさんぶるスターズ!! gracolle CANBA!! ES 8th Anniversary 〖from ME〗」,相关发行方,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/pics_webp/boxart_m/871274616m.jpg.webp,駿河屋角色单品档案缩略图,https://cdn.suruga-ya.jp/pics_webp/boxart_m/871274616m.jpg.webp,档案单品缩略图
KR-MER-0189,イベコレ 2024 SPRING Casual,鬼龍紅郎 「あんさんぶるスターズ!! イベコレ缶バッジ [2024 SPRING] -Casual Side-」,トイズ・プランニング/相关发行,来源不明已撤,图片来源URL缺失，不能证明为官图,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0189.webp,,公开真实商品图/旧图鉴迁移,,既有实图
KR-MER-0190,SPOTLIGHT Banner徽章,鬼龍紅郎 「あんさんぶるスターズ!! バナーバッジコレクション SEASON1 SPOTLIGHT ver.」,pattythree,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0190.webp,https://cdn.suruga-ya.jp/database/pics_webp/game/871366916.jpg.webp,駿河屋鬼龍紅郎角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/871366916.jpg.webp,档案单品原图
KR-MER-0191,gracolle 9周年 FLARE,鬼龍紅郎 「あんさんぶるスターズ!! gracolle CANBA!! ES 9th Anniversary FLARE」,pattythree,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/871908186.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/871908186.jpg.webp,档案单品原图
KR-MER-0192,Collection徽章 2025 Jan. Idol,鬼龍紅郎 「あんさんぶるスターズ!! コレクション缶バッジ[2025 Jan.]-Idol Side-」,pattythree,来源不明已撤,图片来源URL缺失，不能证明为官图,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0192.webp,,公开真实商品图/旧图鉴迁移,,既有实图
KR-MER-0193,视觉色纸 Collection 1,鬼龍紅郎 「あんさんぶるスターズ! ビジュアル色紙コレクション」,エンスカイ,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0193.webp,,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/860002394.jpg.webp,档案单品原图
KR-MER-0194,Animate Cafe 生日生写,鬼龍紅郎 バースデーブロマイド 「あんさんぶるスターズ!×animatecafe」 対象商品購入特典,アニメイト,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/892011145.jpg.webp,駿河屋鬼龍紅郎角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/892011145.jpg.webp,档案单品原图
KR-MER-0195,梦之咲学院学生证,鬼龍紅郎 夢ノ咲学院学生証 「あんさんぶるスターズ! ようこそ転校生ちゃん!新学期☆学生証プレゼントキャンペーン」,フリュー,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/892020247.jpg.webp,駿河屋鬼龍紅郎角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/892020247.jpg.webp,档案单品原图
KR-MER-0196,视觉色纸 Collection 3,鬼龍紅郎 「あんさんぶるスターズ! ビジュアル色紙コレクション3」,エンスカイ,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0196.webp,,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/860003033.jpg.webp,档案单品原图
KR-MER-0197,Clear Card Collection Gum 4 SP26,SP26[スペシャルカード]：鬼龍紅郎 「あんさんぶるスターズ! クリアカードコレクションガム4」,エンスカイ,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0197.webp,https://cdn.suruga-ya.jp/database/pics_webp/game/g3352814.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/g3352814.jpg.webp,档案单品原图
KR-MER-0198,视觉色纸 Collection 8,鬼龍紅郎 「あんさんぶるスターズ! ビジュアル色紙コレクション8」,エンスカイ,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0198.webp,,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/860004228.jpg.webp,档案单品原图
KR-MER-0199,生写 Collection 3,鬼龍紅郎 「あんさんぶるスターズ! 生ブロマイドコレクション3」,エンスカイ,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/892013418.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/892013418.jpg.webp,档案单品原图
KR-MER-0200,旧版 Arcana Card Collection 1,鬼龍紅郎 「あんさんぶるスターズ! アルカナカードコレクション」,エンスカイ,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/892028934.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/892028934.jpg.webp,档案单品原图
KR-MER-0201,Clear Card Gum 11 BOX购买特典,BOX23[プロモーションカード]：鬼龍紅郎 「あんさんぶるスターズ! クリアカードコレクションガム11」初回限定BOX購入特典,エンスカイ,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0201.webp,https://cdn.suruga-ya.jp/database/pics_webp/game/gg484656.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/gg484656.jpg.webp,档案单品原图
KR-MER-0202,5周年 Memorial Postcard 红月之鬼,鬼龍紅郎(紅月の鬼) メモリアルポストカード -ring for SMILE selection-,ムービック,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/892542168.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/892542168.jpg.webp,档案单品原图
KR-MER-0203,!! Arcana Card Collection 1,鬼龍紅郎 「あんさんぶるスターズ!! アルカナカードコレクション」,エンスカイ,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://images.weserv.nl/?url=https%3A%2F%2Fcdn.suruga-ya.jp%2Fdatabase%2Fpics_webp%2Fgame%2F892061951.jpg.webp&output=webp&q=92,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/892061951.jpg.webp,档案单品原图
KR-MER-0204,6周年 gracolle P.A.shots!!,鬼龍紅郎 「あんさんぶるスターズ!! gracolle P.A.shots!! ES 6th Anniversary」,フロンティアワークス,非官图已撤,非官方图片来源：www.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0204.webp,,駿河屋角色单品图,https://www.suruga-ya.jp/product/detail/892074740,角色单品图
KR-MER-0205,!!视觉色纸 Collection 2,鬼龍紅郎 「あんさんぶるスターズ!! ビジュアル色紙コレクション2」,エンスカイ,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0205.webp,,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/860029713.jpg.webp,档案单品原图
KR-MER-0206,P.A.shots!! Extra SHUFFLE Private,鬼龍紅郎 「あんさんぶるスターズ!! P.A.shots!! Extra -SHUFFLE- Private」,フロンティアワークス,非官图已撤,非官方图片来源：www.suruga-ya.com,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0206.webp,,駿河屋角色单品图,https://www.suruga-ya.com/zh-hant/product/892128914,角色单品图
KR-MER-0207,P.A.shots!! Extra SHUFFLE Action,鬼龍紅郎 「あんさんぶるスターズ!! P.A.shots!! Extra -SHUFFLE- Action」,フロンティアワークス,非官图已撤,非官方图片来源：www.suruga-ya.com,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0207.webp,,駿河屋角色单品图,https://www.suruga-ya.com/en/product/892128964,角色单品图
KR-MER-0208,EMOCA2 SNS风透明卡,鬼龍紅郎 「あんさんぶるスターズ! EMOCA2」,エンスカイ,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/892105130.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/892105130.jpg.webp,档案单品原图
KR-MER-0209,旧版 Arcana Card Collection 3,鬼龍紅郎 「あんさんぶるスターズ! アルカナカードコレクション3」,エンスカイ,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/892108975.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/892108975.jpg.webp,档案单品原图
KR-MER-0210,7周年 gracolle P.A.shots!!,鬼龍紅郎 「あんさんぶるスターズ!! gracolle P.A.shots!! ES 7th Anniversary」,フロンティアワークス,非官图已撤,非官方图片来源：www.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0210.webp,,駿河屋角色单品图,https://www.suruga-ya.jp/kaitori/kaitori_detail/892117599,角色单品图
KR-MER-0211,EMOCA3 SNS风透明卡,鬼龍紅郎 「あんさんぶるスターズ!! EMOCA3」,エンスカイ,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/892152834.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/892152834.jpg.webp,档案单品原图
KR-MER-0212,P.A.shots!! 梦之咲Memorial Private,鬼龍紅郎 「あんさんぶるスターズ!! P.A.shots!! Extra -夢ノ咲Memorial- Private」,pattythree,非官图已撤,非官方图片来源：www.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0212.webp,,駿河屋角色单品图,https://www.suruga-ya.jp/product/detail/892248953,角色单品图
KR-MER-0214,!!视觉色纸 Collection 8,鬼龍紅郎 「あんさんぶるスターズ!! ビジュアル色紙コレクション8」,エンスカイ,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0214.webp,,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/860054466.jpg.webp,档案单品原图
KR-MER-0215,TRIP gracolle P.A.shots!!,鬼龍紅郎 「あんさんぶるスターズ!! gracolle P.A.shots!! ALBUM SERIES TRIP」,pattythree,非官图已撤,非官方图片来源：www.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0215.webp,,駿河屋角色单品图,https://www.suruga-ya.jp/product/detail/892283176,角色单品图
KR-MER-0216,9周年 gracolle P.A.shots!!,鬼龍紅郎 「あんさんぶるスターズ!! gracolle P.A.shots!! ES 9th Anniversary」,pattythree,非官图已撤,非官方图片来源：www.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0216.webp,,駿河屋角色单品图,https://www.suruga-ya.jp/product/detail/892366495,角色单品图
